corpus_1817394.txt_9_176	subj
corpus_1817394.txt_177_292	unknown
corpus_1817394.txt_293_493	unknown
corpus_1817394.txt_502_668	unknown
corpus_1817394.txt_677_787	unknown
corpus_1817394.txt_788_936	unknown
corpus_1817394.txt_937_1023	unknown
corpus_1817394.txt_1032_1113	obj
corpus_1817394.txt_1114_1154	obj
corpus_1817394.txt_1155_1206	obj
corpus_1817394.txt_1207_1224	obj
corpus_1817394.txt_1233_1390	unknown
corpus_1817394.txt_1391_1505	unknown
corpus_1817394.txt_1514_1585	unknown
corpus_1817394.txt_1586_1700	unknown
corpus_1817394.txt_1701_1732	unknown
corpus_1817394.txt_1733_1824	unknown
corpus_1817394.txt_1833_1871	unknown
corpus_1817394.txt_1872_2022	unknown
corpus_1817394.txt_2031_2082	unknown
corpus_1817394.txt_2083_2179	unknown
corpus_1817394.txt_2180_2254	unknown
corpus_1817394.txt_2263_2310	unknown
corpus_1817394.txt_2311_2398	unknown
corpus_1817394.txt_2399_2511	unknown
corpus_1817394.txt_2512_2663	unknown
corpus_1817394.txt_2672_2806	unknown
corpus_1817394.txt_2807_2871	unknown
corpus_1817394.txt_2880_2922	unknown
corpus_1817394.txt_2931_2940	obj
